Nombre,Medida Comercial,Medida,Precio Unitario,Código,Código Comercial,Servicio Médico,Impuestos
Bolsos,unidad,Unid,20,8313100000100,3456532454 324344e23 ,No,13% 
Bolsos,unidad,Unid,20,8313100000100,3456532454 324344e23 ,No,13% 
"TENSIONADORA PARA FLEJES MANUALES (DURA-FILM) peso bruto 23,57kg/20 caja / peso neto 20 kg",unid,Unid,19,4292199999900,,No,1% 
DURA.FILM AUTOMATICO 17kgX20´´X65 (peso bruto 6800kg/ 400 cajas / peso  neto 6560 kg,unid,Unid,38.75,3633002000200,,No,13% 
DURA-FILM AUTOMATICO TRANSPARENTE 15KG X 20¨X80 MAQUINA ( peso bruto 1200kg / 80 caja/ peso neto 1152 kg,kg,kg,34.2,3633002000200,7443019280280 ,No,0% 
Servicio de prueba,sp,Sp,5000,0153001010000,3456532454 324344e23 ,No,13% 
"Servicios de reparación, cambios de aceite, liquido de frenos, cambio de neumaticos...",m,m,1000,7159900009900,,No,13% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
MANTENIMIENTO ZONAS VERDES  ,,Sp,100000,4412100000100,,No,13% 
MANTENIMIENTO ZONAS VERDES  ,,Sp,100000,4412100000100,,No,13% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
Bebidas alcohólicas,litros,L,1251,6340002019900,,No,4% 
Bolsos,unidad,Unid,12000,8313100000100,3456532454 324344e23 ,No,0% 
Dispositivo mobile,sp,Unid,230120,0153001010000,3456532454 324344e23 ,No,13% 
hhhhhhhh,11111,m,700000,9310300000200,,No,13% 
Bolsos,unidad,Unid,20,8313100000100,3456532454 324344e23 2423423 ,No,13% 
Bolsos,unidad,Unid,20,8313100000100,3456532454 324344e23 2423423 ,No,13% 
